userId,id,previous_test_scores,learning_style,learning_goals,module_objectives,assessment_scores,feedback_comments,feedback_ratings,level_of_difficulty,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,tags,completion_percentage
1,950640,88,kinesthetic,Improve skills,Understand basic concepts,53,Loved the interactive parts,1,Advanced,Managing social media in the workplace,True,778,3.85,4.02068,4.02068,78,False,"managing, social, media, workplace",230.95
2,2346552,78,visual,Improve skills,Understand basic concepts,99,Excellent content,1,Beginner,Transformational Leadership - Leadership Course & Training,True,24360,4.4,4.44357,4.44357,181,False,"transformational, leadership, leadership, course, training",159.68
3,1341594,64,visual,Improve skills,Understand basic concepts,82,Helpful but needs improvement,3,Intermediate,Pre-University Business Course (Includes Oxford Diploma),True,7429,4.28571,4.30608,4.30608,38,False,"pre, university, business, course, includes, oxford, diploma",83.87
4,838230,92,auditory,Career advancement,Understand basic concepts,76,Great course,1,Beginner,How to make your SAP project successful?,True,5905,3.9,3.65571,3.65571,188,False,"sap, project, successful",26.67
5,1390404,57,auditory,Learn new concepts,Understand basic concepts,56,Loved the interactive parts,4,Intermediate,Organization Development (OD) in Practice,True,188,3.3,3.27626,3.27626,55,False,"organization, development, od, practice",118.99
6,246502,70,visual,Learn new concepts,Understand basic concepts,55,Excellent content,5,Beginner,How to Conduct Podcast Interviews That Crush The Competition,True,964,4.45,4.37317,4.37317,68,False,"conduct, podcast, interviews, crush, competition",110.13
7,2059127,88,visual,Learn new concepts,Understand basic concepts,64,Excellent content,5,Advanced,Getting To Grips With HR Software,True,3088,4.15,4.23555,4.23555,84,False,"getting, grips, hr, software",323.08
8,2240390,68,kinesthetic,Complete certification,Understand basic concepts,67,Helpful but needs improvement,5,Advanced,How to Create Passive Income from Etsy Digital Products,True,4156,4.2,3.94456,3.94456,74,False,"create, passive, income, etsy, digital, products",52.38
9,2413950,72,auditory,Learn new concepts,Understand basic concepts,81,Excellent content,2,Advanced,HR Analytics & People Analytics 101 - Beginner,True,313,4.2931,4.28208,4.28208,102,False,"hr, analytics, people, analytics, 101, beginner",19.72
0,1818708,60,auditory,Complete certification,Understand basic concepts,60,Too fast-paced,1,Advanced,Side Hustle: Entrepreneurship Skills to Start a Business,True,526,4.45,4.43151,4.43151,39,False,"hustle, entrepreneurship, skills, start, business",109.86
1,375594,60,auditory,Complete certification,Understand basic concepts,69,Excellent content,4,Beginner,Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,True,10673,4.34375,4.33252,4.33252,1185,False,"financial, management, complete, study, cma, cs, cfa, acca",6.06
2,2658702,73,visual,Career advancement,Understand basic concepts,73,Great course,2,Intermediate,R for Beginners,True,5529,4.34091,4.29998,4.29998,78,False,"r, beginners",57.81
3,3062318,85,visual,Improve skills,Understand basic concepts,64,Excellent content,3,Beginner,Strategic HR in Modern Times,True,286,4.46154,4.38251,4.38251,65,False,"strategic, hr, modern, times",383.33
4,2997170,89,auditory,Career advancement,Understand basic concepts,97,Loved the interactive parts,4,Beginner,How to Start a Business On a Tight Budget | Step-by-Step,True,135,4.8,4.74564,4.74564,45,False,"start, business, tight, budget, step, step",316.67
5,1315260,73,auditory,Improve skills,Understand basic concepts,56,Helpful but needs improvement,4,Advanced,Introduction to Sarbanes Oxley (SOX),True,496,4.32692,4.28803,4.28803,181,False,"introduction, sarbanes, oxley, sox",102.5
6,45119,52,visual,Improve skills,Understand basic concepts,70,Excellent content,4,Advanced,Improve your Handwriting - Improve your Life,True,6759,4.46703,4.49597,4.49597,789,False,"improve, handwriting, improve, life",126.53
7,2093042,71,auditory,Career advancement,Understand basic concepts,91,Excellent content,5,Beginner,Sports Leadership and management,True,262,4.41304,4.51094,4.51094,110,False,"sports, leadership, management",133.33
8,2097796,51,visual,Career advancement,Understand basic concepts,75,Too fast-paced,4,Intermediate,Online Coaching Business: Health & Life Coach Certification,True,768,4.39583,4.40651,4.40651,138,False,"online, coaching, business, health, life, coach, certification",42.42
9,147052,73,visual,Improve skills,Understand basic concepts,93,Excellent content,1,Intermediate,Business Law for Entrepreneurs,True,1071,4.16667,4.43364,4.43364,52,False,"business, law, entrepreneurs",593.33
0,1010620,93,kinesthetic,Complete certification,Understand basic concepts,63,Great course,4,Intermediate,"Forex PAMM - Perfect Business: Fully Automated, No Marketing",True,1003,4.5,4.39799,4.39799,46,False,"forex, pamm, perfect, business, fully, automated, marketing",112.0
1,2594342,79,visual,Improve skills,Understand basic concepts,86,Excellent content,5,Advanced,IIBA ECBA Proficiency-based Mock test 2020,True,193,4.29545,4.27667,4.27667,45,False,"iiba, ecba, proficiency, based, mock, test, 2020",2.15
2,825136,87,kinesthetic,Complete certification,Understand basic concepts,70,Great course,4,Advanced,Schedule Network Diagram and Critical Path Method,True,814,4.2,4.16461,4.16461,46,False,"schedule, network, diagram, critical, path, method",83.33
3,1631442,51,kinesthetic,Career advancement,Understand basic concepts,67,Loved the interactive parts,3,Beginner,Accounting 101: Understanding & Analyzing Balance Sheets,True,424,3.85,3.8536,3.8536,43,False,"accounting, 101, understanding, analyzing, balance, sheets",130.77
4,1599782,70,visual,Learn new concepts,Understand basic concepts,54,Excellent content,3,Beginner,The Best eBay Selling Course: eBay Business DOMINATION,True,1350,3.8,3.95231,3.95231,291,False,"best, ebay, selling, course, ebay, business, domination",101.14
5,180384,82,kinesthetic,Career advancement,Understand basic concepts,52,Helpful but needs improvement,5,Advanced,Yield Curve Dynamics,True,1635,4.46429,4.43099,4.43099,200,False,"yield, curve, dynamics",186.67
6,2201496,61,visual,Improve skills,Understand basic concepts,72,Helpful but needs improvement,1,Advanced,Beginner Statistics for Data Analytics - Learn the Easy Way!,True,1923,4.48837,4.47196,4.47196,547,False,"beginner, statistics, data, analytics, learn, easy, way",110.0
7,586212,71,kinesthetic,Improve skills,Understand basic concepts,75,Helpful but needs improvement,1,Intermediate,Time Mastery For Managers,True,2712,4.15476,4.16015,4.16015,298,False,"time, mastery, managers",49.3
8,943842,93,kinesthetic,Improve skills,Understand basic concepts,86,Loved the interactive parts,2,Intermediate,Business Analyst: Software Testing Processes & Techniques,True,17839,4.39702,4.42994,4.42994,3869,False,"business, analyst, software, testing, processes, techniques",7.58
9,394990,74,auditory,Career advancement,Understand basic concepts,73,Helpful but needs improvement,5,Intermediate,Outsource your Sales,True,1094,4.5,4.5892,4.5892,39,False,"outsource, sales",86.67
0,2285181,98,kinesthetic,Career advancement,Understand basic concepts,98,Too fast-paced,4,Beginner,Top 10 USDCAD EAs in 2020: Algorithmic Trading Strategies,True,2250,4.45,4.45293,4.45293,48,False,"10, usdcad, eas, 2020, algorithmic, trading, strategies",45.45
1,319020,76,auditory,Career advancement,Understand basic concepts,68,Too fast-paced,5,Intermediate,Investing: How I Consistently Beat The Stock Market,True,2125,4.25,4.15706,4.15706,42,False,"investing, consistently, beat, stock, market",90.48
2,3429480,91,kinesthetic,Improve skills,Understand basic concepts,74,Could use more examples,2,Advanced,The Complete Sales Management Course for Beginners,True,725,4.90187,4.86241,4.86241,107,False,"complete, sales, management, course, beginners",329.41
3,1349968,77,kinesthetic,Improve skills,Understand basic concepts,70,Too fast-paced,5,Beginner,"Bitcoin Investing, Get Savings And Discounts - Introduction",True,235,4.5,4.34199,4.34199,49,False,"bitcoin, investing, savings, discounts, introduction",102.86
4,2908664,65,auditory,Improve skills,Understand basic concepts,61,Too fast-paced,5,Advanced,The Freelancers Cheatsheet: Make Upwork Clients CHASE YOU!,True,15000,4.35,4.08378,4.08378,189,False,"freelancers, cheatsheet, upwork, clients, chase",75.0
5,522094,64,kinesthetic,Career advancement,Understand basic concepts,90,Great course,2,Intermediate,Agile PM 401 - Advanced Agile Project Management,True,5021,4.44415,4.43862,4.43862,807,False,"agile, pm, 401, advanced, agile, project, management",42.59
6,1233350,96,auditory,Improve skills,Understand basic concepts,82,Could use more examples,1,Advanced,Bitcoin Profits for Beginners,True,527,4.25,4.23727,4.23727,155,False,"bitcoin, profits, beginners",88.68
7,348342,93,auditory,Complete certification,Understand basic concepts,99,Helpful but needs improvement,4,Intermediate,Storytelling: You Can learn to Tell Stories Effectively,True,1484,4.15,4.09271,4.09271,59,False,"storytelling, learn, tell, stories, effectively",221.43
8,1058614,52,auditory,Career advancement,Understand basic concepts,53,Loved the interactive parts,2,Beginner,Blogging Masterclass: How To Build A Successful Blog In 2020,True,22578,4.55337,4.56349,4.56349,4073,False,"blogging, masterclass, build, successful, blog, 2020",13.92
9,1210972,86,kinesthetic,Career advancement,Understand basic concepts,91,Great course,3,Advanced,The Ultimate Guide for Land Surveying with Drones - Part 1,True,3211,4.19444,4.14391,4.14391,735,False,"ultimate, guide, land, surveying, drones, 1",28.57
0,1231330,56,auditory,Improve skills,Understand basic concepts,56,Could use more examples,1,Beginner,Avoiding Common Mistakes New Managers Make,True,628,4.3,4.50418,4.50418,175,False,"avoiding, common, mistakes, new, managers",87.01
1,1574056,70,visual,Improve skills,Understand basic concepts,71,Too fast-paced,3,Beginner,Data visualization with Tableau 10.5,True,314,3.35,3.18663,3.18663,75,False,"data, visualization, tableau",50.0
